EnglishTerms,meaning,countINacad,EstonianTerms,EcountINsample2,rel_Freq_Est,ForeignTerms,FcountINsample2,rel_Freq_Fore,sentenceEx,source,fore_Ratio
melaena,,22.0,veriroe,5,0.009,meleena,1,0.002,,,0.2
pylorus,,5757.0,maolukuti,8,0.014,püloorus,1,0.002,,,0.125
ankylosis,,152.0,liigesejäikus,9,0.016,anküloos,2,0.003,,,0.222
neoplasm,,5632.0,uudismoodustis,14,0.024,neoplasma,1,0.002,,,0.071
suppository,,424.0,ravimküünal,15,0.026,suposiit,13,0.022,,,0.867
hyperopia ,,282.0,kaugnägelikkus,16,0.028,hüperoopia ,3,0.005,,,0.188
hypersomnia,,138.0,liigunisus,16,0.028,hüpersomnia,3,0.005,,,0.188
dysuria,,256.0,kusemishäire,17,0.029,düsuuria,2,0.003,,,0.118
tubercle,,1358.0,köbruke,18,0.031,tuberkul,1,0.002,,,0.056
ecchymosis,,451.0,täppverevalum,20,0.035,ekhümoos,1,0.002,,,0.05
phagocyte,,1616.0,õgirakk,21,0.036,fagotsüüt,14,0.024,,,0.667
somnambulism,,9.0,uneskõndimine,24,0.041,somnambulism,10,0.017,,,0.417
hemoptysis,,495.0,veriköha,29,0.05,hemoptüüs,1,0.002,,,0.034
analgesia,,3788.0,valutustamine,29,0.05,analgeesia,19,0.033,,,0.655
ossification,,1217.0,luustuminie,31,0.053,ossifikatsioon,7,0.012,,,0.226
gonad,,1620.0,sugunääre,36,0.062,gonaad,2,0.003,,,0.056
pharyngitis,,420.0,neelupõletik,37,0.064,farüngiit,7,0.012,,,0.189
hypochondria,,6.0,terviseärevus,38,0.066,hüpohondria,25,0.043,,,0.658
tendinitis,,66.0,kõõlusepõletik,42,0.072,tendiniit,14,0.024,,,0.333
metritis,,17.0,emakapõletik,45,0.078,metriit,37,0.064,,,0.822
ureter,,1342.0,kusejuha,47,0.081,ureeter,1,0.002,,,0.021
lumbago,,57.0,lendva,52,0.09,lumpaago,5,0.009,,,0.096
hydrocephalus,,1332.0,vesipea,52,0.09,hüdrotsefaalia,28,0.048,,,0.538
thymus,,4223.0,harknääre,56,0.097,tüümus,27,0.047,,,0.482
asphyxia,,844.0,lämbus,70,0.121,asfüksia,19,0.033,,,0.271
calcification,,8059.0,lubjastumine,83,0.143,kaltsifikatsioon,2,0.003,,,0.024
urticaria,,765.0,nõgestõbi,116,0.2,urtikaaria,28,0.048,,,0.241
insemination,,679.0,seemendus,126,0.217,inseminatsioon,14,0.024,,,0.111
xerostomia,,389.0,suukuivus,144,0.248,kserostoomia,4,0.007,,,0.028
tachycardia,,2660.0,südamepekslemine,172,0.297,tahhükardia,59,0.102,,,0.343
myopia,,1051.0,lühinägevus,178,0.307,müoopia,83,0.143,,,0.466
gamete,,1225.0,sugurakk,213,0.368,gameet,6,0.01,,,0.028
colostrum,,,ternepiim,243,0.419,kolostrum,2,0.003,,,0.008
gingivitis,,511.0,igemepõletik,246,0.424,gingiviit,23,0.04,,,0.093
trachea,,,hingetoru,267,0.461,trahhea,39,0.067,,,0.146
otitis,,1144.0,kõrvapõletik,284,0.49,otiit,8,0.014,,,0.028
comedo,,20.0,mustpea,289,0.499,komedoon,156,0.269,,,0.54
myalgia,,1106.0,lihasevalu,304,0.525,müalgia,5,0.009,,,0.016
erythrocyte,,7722.0,punalible,317,0.547,erütrotsüüt,156,0.269,,,0.492
adipocyte,,3695.0,rasvarakk,358,0.618,adipotsüüt,6,0.01,,,0.017
acupuncture,,2168.0,nõelravi,397,0.685,akupunktuur,122,0.211,,,0.307
luxation,,113.0,nihestus,416,0.718,luksatsioon,3,0.005,,,0.007
