EnglishTerms,meaning,countINacad,EstonianTerms,EcountINsample2,rel_Freq_Est,ForeignTerms,FcountINsample2,rel_Freq_Fore,sentenceEx,source,est_Ratio
ascites,,2078.0,vesikõht,2,0.003,astsiit,7,0.012,,,0.286
osteophyte,,311.0,luukasvis,3,0.005,osteofüüt,8,0.014,,,0.375
auscultation,,711.0,kuulatlus,4,0.007,auskultatsioon,8,0.014,,,0.5
nystagmus,,582.0,silmatõmblus,2,0.003,nüstagm,10,0.017,,,0.2
haematuria,,191.0,verikusesus,1,0.002,hematuuria,12,0.021,,,0.083
hirsutism,,918.0,liigkarvasus,4,0.007,hirsutism,12,0.021,,,0.333
uraemia,,35.0,kusiveresus,4,0.007,ureemia,15,0.026,,,0.267
bradycardia,,1307.0,südameaeglus,1,0.002,bradükardia,23,0.04,,,0.043
hyperthermia,,1741.0,liigsoojus,14,0.024,hüpertermia,28,0.048,,,0.5
apnoea,,267.0,hingamispeetus,26,0.045,apnoe,28,0.048,,,0.929
dentine,,316.0,hambaluu,13,0.022,dentiin,30,0.052,,,0.433
halitosis,,126.0,suulehk,18,0.031,halitoos,32,0.055,,,0.562
pediculosis,,37.0,täitõbi,34,0.059,pedikuloos,35,0.06,,,0.971
hyperplasia,,4350.0,liigkasv,3,0.005,hüperplaasia,36,0.062,,,0.083
emphysema ,,2670.0,kopsupuhitus,11,0.019,emfüseem ,44,0.076,,,0.25
ichthyosis,,168.0,soomustõbi,3,0.005,ihtüoos,48,0.083,,,0.062
ganglion,,,tänk,6,0.01,ganglion,49,0.085,,,0.122
stenosis,,6002.0,kitsenemus,2,0.003,stenoos,52,0.09,,,0.038
stomatitis,,771.0,suupõletik,12,0.021,stomatiit,59,0.102,,,0.203
axon,,5726.0,telgniit,2,0.003,akson,60,0.104,,,0.033
cardiomyopathy,,3345.0,südamelihasehaigestumus,1,0.002,kardiomüopaatia,87,0.15,,,0.011
alopecia,,1394.0,juuksekadu,81,0.14,alopeetsia,97,0.167,,,0.835
colitis,,3621.0,jämesoolepõletik,24,0.041,koliit,101,0.174,,,0.238
narcolepsy,,316.0,tukkumistõbi,2,0.003,narkolepsia,102,0.176,,,0.02
aphasia,,695.0,kõnehalvatus,27,0.047,afaasia,111,0.192,,,0.243
haematoma,,430.0,verimuhk,5,0.009,hematoom,120,0.207,,,0.042
leukocyte,,8921.0,valgelible,87,0.15,leukotsüüt,127,0.219,,,0.685
hypothermia,,1874.0,vaegsoojumus,7,0.012,hüpotermia,129,0.223,,,0.054
scoliosis,,1825.0,vildakselgsus,14,0.024,skolioos,143,0.247,,,0.098
atrophy,,5440.0,kõhetus,6,0.01,atroofia,157,0.271,,,0.038
dehydration,,3357.0,veetustamine,16,0.028,dehüdratsioon,177,0.305,,,0.09
bronchus,,1006.0,kopsutoru,21,0.036,bronh,205,0.354,,,0.102
lactation,,3338.0,piimaeritus,10,0.017,laktatsioon,208,0.359,,,0.048
pancreatitis,,7758.0,kõhunäärmepõletik ,60,0.104,pankreatiit ,224,0.387,,,0.268
keratin,,1588.0,sarvaine,14,0.024,keratiin,235,0.405,,,0.06
thrombocyte,,212.0,vereliistak,161,0.278,trombotsüüt,238,0.411,,,0.676
haemophilia,,156.0,veritsustõbi,24,0.041,hemofiilia,262,0.452,,,0.092
glaucoma,,1.0,rohekae,19,0.033,glaukoom,264,0.456,,,0.072
anaesthesia,,,tuimastus,74,0.128,anesteesia,332,0.573,,,0.223
anthrax,,1527.0,põrnatõbi,20,0.035,antraks,333,0.575,,,0.06
bulimia,,422.0,liigsöömine,340,0.587,buliimia,341,0.588,,,0.997
capillary,,2824.0,juussoon,4,0.007,kapillaar,346,0.597,,,0.012
haemorrhoid,,25.0,pärakuveenikomu,3,0.005,hemorroid,401,0.692,,,0.007
pupil,,3499.0,silmatera,375,0.647,pupill,442,0.763,,,0.848
eczema,,1759.0,sammaspool,15,0.026,ekseem,442,0.763,,,0.034
herpes,,3941.0,ohatis,224,0.387,herpes,446,0.77,,,0.502
myocarditis,,969.0,südamelihasepõletik,96,0.166,müokardiit,457,0.789,,,0.21
dermatitis,,4610.0,nahapõletik,295,0.509,dermatiit,457,0.789,,,0.646
meningitis,,4386.0,ajukelmepõletik,122,0.211,meningiit,484,0.835,,,0.252
encephalitis,,2388.0,ajupõletik,110,0.19,entsefaliit,491,0.847,,,0.224
puberty,,1928.0,murdeiga,501,0.864,puberteet,536,0.925,,,0.935
anorexia,,1955.0,isutus,344,0.594,anoreksia,555,0.958,,,0.62
arthritis,,11413.0,liigesepõletik,366,0.632,artriit ,621,1.072,,,0.589
hepatitis,,16031.0,maksapõletik,142,0.245,hepatiit,635,1.096,,,0.224
diphtheria,,1033.0,kurgutõbi,25,0.043,difteeria,640,1.104,,,0.039
xenophobia,dislike or haterd against people from other countries,24.0,võõraviha,397,0.685,ksenofoobia,654,1.128,,,0.607
