EnglishTerms;meaning;countINacad;EstonianTerms;EcountINsample2;ForeignTerms;FcountINsample2;sentenceEx;source
euthanasia;the painless killing of a patient suffering from incurable disease;640;halastussurm;47;eutanaasia;1736;;
trachea;;;hingetoru;267;trahhea;39;;
dysuria;;256;kusemishäire;17;düsuuria;2;;
aphasia;;695;kõnehalvatus;27;afaasia;111;;
hypersomnia;;138;liigunisus;16;hüpersomnia;3;;
insomnia;habitual sleeplessness;4222;unetus;1835;insomnia;78;;
hypochondria;;6;terviseärevus;38;hüpohondria;25;;
hyperplasia;;4350;liigkasv;3;hüperplaasia;36;;
xenophobia;dislike or haterd against people from other countries;24;võõraviha;397;ksenofoobia;654;;
haematuria;;191;verikusesus;1;hematuuria;12;;
diphtheria;;1033;kurgutõbi;25;difteeria;640;;
anaemia;;3283;kehvveresus;231;aneemia;741;;
alopecia;;1394;juuksekadu;81;alopeetsia;97;;
hypothermia;;1874;vaegsoojumus;7;hüpotermia;129;;
hydrocephalus;;1332;vesipea;52;hüdrotsefaalia;28;;
haemophilia;;156;veritsustõbi;24;hemofiilia;262;;
leukaemia;a malignant progressive disease in which bone marrows and other blood-forming organs produce lots of immature or abnormal leucocytes;1348;verevähk;363;leukeemia;881;;
amnesia;;386;mälukaotus;585;amneesia;152;Amneesia, mida nimetatakse ka mälukaotuseks, on seotud tavaliselt sisemise vigastusega (m. psühhotraumaga), nagu õnnetus või ootamatu raske kaotus, ning on tavaliselt osaline ja valikuline (m. selektiivne). Ulatus ja sügavus võib erinevatel päevadel ja erinevate uurijate korral muutuda, kuid selles on püsiv osa, mida ei ole võimalik meenutada ärkvelolekus.;RHK-10 Psüühika- ja käitumishäired - kliinilised kirjeldused ja diagnostilised juhised
bulimia;;422;liigsöömine;340;buliimia;341;;
pneumonia;;8881;kopsupõletik;3106;pneumoonia;70;;
asphyxia;;844;lämbus;70;asfüksia;19;;
anorexia;;1955;isutus;344;anoreksia;555;;
myopia;;1051;lühinägevus;178;müoopia;83;;
hypoxia;;10742;hapnikupuudus;708;hüpoksia;80;;
analgesia;;3788;valutustamine;29;analgeesia;19;;
hyperopia ;;282;kaugnägelikkus;16;hüperoopia ;3;;
tachycardia;;2660;südamepekslemine;172;tahhükardia;59;;
pylorus;;5757;maolukuti;8;püloorus;1;;
pancreas;;6681;kõhunääre;459;pankreas;287;;
bradycardia;;1307;südameaeglus;1;bradükardia;23;;
anthrax;;1527;põrnatõbi;20;antraks;333;;
thymus;;4223;harknääre;56;tüümus;27;;
axon;;5726;telgniit;2;akson;60;;
appendix;;12759;pimesool;426;apendiks;5;;
radiotherapy ;;7940;kiiritusravi;653;radioteraapia;12;;
artery;;31058;tuiksoon;691;arter;1370;;
colostrum;;;ternepiim;243;kolostrum;2;;
apnoea;;267;hingamispeetus;26;apnoe;28;;
acne;;3861;vinnid;45;akne;1736;;
prostate;;21690;eesnääre;824;prostata;38;;
malaria;;38151;halltõbi;85;malaaria;1128;;
haemorrhage;;1459;verejooks;1858;hemorraagia;94;;
herpes;;3941;ohatis;224;herpes;446;;
hyperthermia;;1741;liigsoojus;14;hüpertermia;28;;
autopsy;;3617;lahkamine;1955;autopsia;26;;
atrophy;;5440;kõhetus;6;atroofia;157;;
melancholia;;46;raskemeelsus;129;melanhoolia;751;;
melaena;;22;veriroe;5;meleena;1;;
myalgia;;1106;lihasevalu;304;müalgia;5;;
lumbago;;57;lendva;52;lumpaago;5;;
ureter;;1342;kusejuha;47;ureeter;1;;
uraemia;;35;kusiveresus;4;ureemia;15;;
asthma;;33675;hingeldus;215;astma;2210;;
cardiomyopathy;;3345;südamelihasehaigestumus;1;kardiomüopaatia;87;;
xerostomia;;389;suukuivus;144;kserostoomia;4;;
urticaria;;765;nõgestõbi;116;urtikaaria;28;;
tubercle;;1358;köbruke;18;tuberkul;1;;
narcolepsy;;316;tukkumistõbi;2;narkolepsia;102;;
pharmacy;;11504;rohuteadus;38;farmaatsia;687;;
hemoptysis;;495;veriköha;29;hemoptüüs;1;;
ecchymosis;;451;täppverevalum;20;ekhümoos;1;;
pediculosis;;37;täitõbi;34;pedikuloos;35;;
osteoporosis;;7141;luuhõrenemine;296;osteoporoos;692;;
scoliosis;;1825;vildakselgsus;14;skolioos;143;;
halitosis;;126;suulehk;18;halitoos;32;;
ichthyosis;;168;soomustõbi;3;ihtüoos;48;;
narcosis;;42;uimastus;10;narkoos;833;;
injection;;45402;süstimine;1994;injektsioon;19;;
auscultation;;711;kuulatlus;4;auskultatsioon;8;;
ossification;;1217;luustuminie;31;ossifikatsioon;7;;
calcification;;8059;lubjastumine;83;kaltsifikatsioon;2;;
dehydration;;3357;veetustamine;16;dehüdratsioon;177;;
luxation;;113;nihestus;416;luksatsioon;3;;
lactation;;3338;piimaeritus;10;laktatsioon;208;;
menstruation;;1298;kuupuhastus;132;menstruatsioon;1743;;
insemination;;679;seemendus;126;inseminatsioon;14;;
meningitis;;4386;ajukelmepõletik;122;meningiit;484;;
gingivitis;;511;igemepõletik;246;gingiviit;23;;
pancreatitis;;7758;kõhunäärmepõletik ;60;pankreatiit ;224;;
