EnglishTerms,meaning,count,EstonianTerms,countINsample2,ForeignTerms,countINsample2.1,sentenceEx,source,Estonian_vs_foreign,rel_Freq_Est,rel_Freq_Fore
melaena,,,veriroe,5,meleena,1,,,5.0,0.0001,0.0002
pylorus,,5757.0,maolukuti,8,püloorus,1,,,8.0,0.0002,0.0002
ankylosis,,,liigesejäikus,9,anküloos,2,,,4.5,0.0002,0.0005
neoplasm,,,uudismoodustis,14,neoplasma,1,,,14.0,0.0003,0.0002
suppository,,,ravimküünal,15,suposiit,13,,,1.15,0.0004,0.003
hypersomnia,,,liigunisus,16,hüpersomnia,3,,,5.33,0.0004,0.0007
hyperopia ,,,kaugnägelikkus,16,hüperoopia ,3,,,5.33,0.0004,0.0007
dysuria,,256.0,kusemishäire,17,düsuuria,2,,,8.5,0.0004,0.0005
tubercle,,,köbruke,18,tuberkul,1,,,18.0,0.0004,0.0002
ecchymosis,,,täppverevalum,20,ekhümoos,1,,,20.0,0.0005,0.0002
phagocyte,,,õgirakk,21,fagotsüüt,14,,,1.5,0.0005,0.0033
erotomania,,,armuhullus,24,erotomaania,11,,,2.18,0.0006,0.0026
somnambulism,,,uneskõndimine,24,somnambulism,10,,,2.4,0.0006,0.0023
hemoptysis,,,veriköha,29,hemoptüüs,1,,,29.0,0.0007,0.0002
analgesia,,3788.0,valutustamine,29,analgeesia,19,,,1.53,0.0007,0.0044
ossification,,,luustuminie,31,ossifikatsioon,7,,,4.43,0.0007,0.0016
gonad,,,sugunääre,36,gonaad,2,,,18.0,0.0009,0.0005
pharyngitis ,,,neelupõletik,37,farüngiit,7,,,5.29,0.0009,0.0016
hypochondria,,,terviseärevus,38,hüpohondria,25,,,1.52,0.0009,0.0059
tendinitis,,,kõõlusepõletik,42,tendiniit,14,,,3.0,0.001,0.0033
metritis ,,,emakapõletik,45,metriit,37,,,1.22,0.0011,0.0087
ureter,,,kusejuha,47,ureeter,1,,,47.0,0.0011,0.0002
hydrocephalus,,,vesipea,52,hüdrotsefaalia,28,,,1.86,0.0012,0.0066
lumbago,,,lendva,52,lumpaago,5,,,10.4,0.0012,0.0012
thymus,,,harknääre,56,tüümus,27,,,2.07,0.0013,0.0063
asphyxia,,,lämbus,70,asfüksia,19,,,3.68,0.0017,0.0044
calcification,,,lubjastumine,83,kaltsifikatsioon,2,,,41.5,0.002,0.0005
urticaria,,,nõgestõbi,116,urtikaaria,28,,,4.14,0.0028,0.0066
insemination,,,seemendus,126,inseminatsioon,14,,,9.0,0.003,0.0033
xerostomia,,,suukuivus,144,kserostoomia,4,,,36.0,0.0034,0.0009
